Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
FBM,"Foundation Building Materials, Inc.",9,$386.05M,2017,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/fbm
FBP,First BanCorp.,10.68,$2.32B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fbp
FC,Franklin Covey Company,24.38,$339.6M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/fc
FCAU,Fiat Chrysler Automobiles N.V.,17.35,$34B,2014,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fcau
FCF,First Commonwealth Financial Corporation,13.76,$1.36B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcf
FCN,"FTI Consulting, Inc.",68.2,$2.62B,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/fcn
FCPT,"Four Corners Property Trust, Inc.",28.09,$1.9B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fcpt
FCT,First Trust Senior Floating Rate Income Fund II,11.84,$316.09M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fct
FCX,"Freeport-McMoran, Inc.",11.91,$17.26B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fcx
FDC,First Data Corporation,25.15,$23.56B,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fdc
FDEU,First Trust Dynamic Europe Equity Income Fund,14.1,$242.97M,2015,n/a,n/a,https://www.nasdaq.com/symbol/fdeu
FDP,"Fresh Del Monte Produce, Inc.",32.38,$1.57B,1997,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/fdp
FDS,FactSet Research Systems Inc.,218.61,$8.31B,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fds
FDX,FedEx Corporation,183.81,$47.98B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/fdx
FE,FirstEnergy Corp.,38.66,$19.77B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe
FEDU,Four Seasons Education (Cayman) Inc.,2.17,$108.36M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/fedu
FEI           ,First Trust MLP and Energy Income Fund,11.49,$538.39M,2012,n/a,n/a,https://www.nasdaq.com/symbol/fei
FELP,Foresight Energy LP,3.35,$488.43M,2014,Energy,Coal Mining,https://www.nasdaq.com/symbol/felp
